period_date,year,quarter,year_quarter,us_state,remittances_musd
2014-10-01,2014,4,2014Q4,Idaho,25.32568
2014-10-01,2014,4,2014Q4,Illinois,282.800074
2014-10-01,2014,4,2014Q4,Indiana,64.10041
2014-10-01,2014,4,2014Q4,Iowa,28.402112
2014-10-01,2014,4,2014Q4,Kansas,41.388063
2014-10-01,2014,4,2014Q4,Kentucky,42.771218
2014-10-01,2014,4,2014Q4,Louisiana,68.414056
2014-10-01,2014,4,2014Q4,Maine,0.694042
2014-10-01,2014,4,2014Q4,Maryland,32.751237
2014-10-01,2014,4,2014Q4,Massachusetts,10.570018
2014-10-01,2014,4,2014Q4,Michigan,46.688921
2014-10-01,2014,4,2014Q4,Minnesota,218.379852
2014-10-01,2014,4,2014Q4,Mississipi,26.879676
2014-10-01,2014,4,2014Q4,Misuri,32.913295
2014-10-01,2014,4,2014Q4,Montana,2.112954
2014-10-01,2014,4,2014Q4,Nebraska,25.529326
2014-10-01,2014,4,2014Q4,Nevada,57.547921
2014-10-01,2014,4,2014Q4,No Identificado,902.982513
2014-10-01,2014,4,2014Q4,Nueva Jersey,91.867944
2014-10-01,2014,4,2014Q4,Nueva York,198.829278
2014-10-01,2014,4,2014Q4,Nuevo Hampshire,3.075243
2014-10-01,2014,4,2014Q4,Nuevo Mexico,31.085925
2014-10-01,2014,4,2014Q4,Ohio,47.473273
2014-10-01,2014,4,2014Q4,Oklahoma,50.460207
2014-10-01,2014,4,2014Q4,Oregon,71.854119
2014-10-01,2014,4,2014Q4,Pensilvania,50.399989
2014-10-01,2014,4,2014Q4,Puerto Rico,0.084474
2014-10-01,2014,4,2014Q4,Rhode Island,2.443817
2014-10-01,2014,4,2014Q4,Tennessee,80.096136
2014-10-01,2014,4,2014Q4,Texas,718.284181
2014-10-01,2014,4,2014Q4,Utah,46.648944
2014-10-01,2014,4,2014Q4,Vermont,0.8853
2014-10-01,2014,4,2014Q4,Virginia,53.092252
2014-10-01,2014,4,2014Q4,Washington,128.799698
2014-10-01,2014,4,2014Q4,"Washington, D.c.",2.708167
2014-10-01,2014,4,2014Q4,West Virginia,2.645445
2014-10-01,2014,4,2014Q4,Wisconsin,54.19278
2014-10-01,2014,4,2014Q4,Wyoming,9.462134
2015-01-01,2015,1,2015Q1,Alabama,42.193088
2015-01-01,2015,1,2015Q1,Alaska,7.556505
2015-01-01,2015,1,2015Q1,Arizona,151.375721
2015-01-01,2015,1,2015Q1,Arkansas,33.247974
2015-01-01,2015,1,2015Q1,California,1676.78102
2015-01-01,2015,1,2015Q1,Carolina Del Norte,107.589038
2015-01-01,2015,1,2015Q1,Carolina Del Sur,42.827928
2015-01-01,2015,1,2015Q1,Colorado,118.737426
2015-01-01,2015,1,2015Q1,Connecticut,14.993739
2015-01-01,2015,1,2015Q1,Dakota Del Norte,18.339124
2015-01-01,2015,1,2015Q1,Dakota Del Sur,5.403152
2015-01-01,2015,1,2015Q1,Delaware,7.756346
2015-01-01,2015,1,2015Q1,Florida,204.545338
2015-01-01,2015,1,2015Q1,Georgia,195.209186
2015-01-01,2015,1,2015Q1,Hawaii,5.515399
2015-01-01,2015,1,2015Q1,Idaho,16.515216
2015-01-01,2015,1,2015Q1,Illinois,295.842193
2015-01-01,2015,1,2015Q1,Indiana,56.674546
2015-01-01,2015,1,2015Q1,Iowa,24.089043
2015-01-01,2015,1,2015Q1,Kansas,40.16206
2015-01-01,2015,1,2015Q1,Kentucky,29.625173
2015-01-01,2015,1,2015Q1,Louisiana,79.649782
2015-01-01,2015,1,2015Q1,Maine,1.066792
2015-01-01,2015,1,2015Q1,Maryland,30.737283
2015-01-01,2015,1,2015Q1,Massachusetts,12.198791
2015-01-01,2015,1,2015Q1,Michigan,51.73711
2015-01-01,2015,1,2015Q1,Minnesota,177.062332
2015-01-01,2015,1,2015Q1,Mississipi,22.477095
2015-01-01,2015,1,2015Q1,Misuri,33.068395
2015-01-01,2015,1,2015Q1,Montana,2.971259
2015-01-01,2015,1,2015Q1,Nebraska,27.192737
2015-01-01,2015,1,2015Q1,Nevada,65.022607
2015-01-01,2015,1,2015Q1,No Identificado,519.248353
2015-01-01,2015,1,2015Q1,Nueva Jersey,84.984073
2015-01-01,2015,1,2015Q1,Nueva York,179.536361
2015-01-01,2015,1,2015Q1,Nuevo Hampshire,3.28132
2015-01-01,2015,1,2015Q1,Nuevo Mexico,35.680722
2015-01-01,2015,1,2015Q1,Ohio,38.887744
2015-01-01,2015,1,2015Q1,Oklahoma,49.055164
2015-01-01,2015,1,2015Q1,Oregon,56.221934
2015-01-01,2015,1,2015Q1,Pensilvania,49.735984
2015-01-01,2015,1,2015Q1,Puerto Rico,1.882323
2015-01-01,2015,1,2015Q1,Rhode Island,3.721483
2015-01-01,2015,1,2015Q1,Tennessee,68.327073
2015-01-01,2015,1,2015Q1,Texas,770.326099
2015-01-01,2015,1,2015Q1,Utah,39.334176
2015-01-01,2015,1,2015Q1,Vermont,2.931023
2015-01-01,2015,1,2015Q1,Virginia,59.295823
2015-01-01,2015,1,2015Q1,Washington,101.365635
2015-01-01,2015,1,2015Q1,"Washington, D.c.",2.547949
2015-01-01,2015,1,2015Q1,West Virginia,5.098841
2015-01-01,2015,1,2015Q1,Wisconsin,62.191437
2015-01-01,2015,1,2015Q1,Wyoming,9.84664
2015-04-01,2015,2,2015Q2,Alabama,53.756071
